timestamp,alpha,beta,theta,diff
2024-11-08|16:24:05.392,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:05.595,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:05.799,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:06.002,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:06.204,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:06.408,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:06.608,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:06.810,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:07.012,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:07.213,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:07.415,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:07.617,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:07.820,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:08.023,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:08.226,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:08.428,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:08.630,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:08.832,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:09.034,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:09.239,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:09.441,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:09.644,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:09.848,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:10.049,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:10.251,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:10.452,0.0617,0.1110,0.0709,100.0000
